size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
5.5759152E8,2,8,../datasets/clusters,4.35618375,0.3016,1.02218,128,0.0,8,
6.93410829E8,3,8,../datasets/clusters,5.4172721015625,0.5811,1.00587,128,0.0,8,
8.0683267E8,4,8,../datasets/clusters,6.303380234375,0.7748,1.00144,128,0.0,8,
8.50931631E8,5,8,../datasets/clusters,6.6479033671875,0.8532,1.00056,128,0.0,8,
8.52582007E8,6,8,../datasets/clusters,6.6607969296875,0.8531,1.00054,128,0.0,8,
8.52738424E8,7,8,../datasets/clusters,6.6620189375,0.8531,1.00054,128,0.0,8,
4.37397695E8,1,9,../datasets/clusters,3.4171694921875,0.0833,1.06784,128,0.0,8,
5.73453405E8,2,9,../datasets/clusters,4.4801047265625,0.308,1.0218,128,0.0,8,
7.09328854E8,3,9,../datasets/clusters,5.541631671875,0.5744,1.00593,128,0.0,8,
8.45422693E8,4,9,../datasets/clusters,6.6048647890625,0.7662,1.0015,128,0.0,8,
9.58354026E8,5,9,../datasets/clusters,7.487140828125,0.8777,1.00037,128,0.0,8,
1.002848872E9,6,9,../datasets/clusters,7.8347568125,0.9214,1.00014,128,0.0,8,
1.004769159E9,7,9,../datasets/clusters,7.8497590546875,0.9258,1.00014,128,0.0,8,
1.004337959E9,8,9,../datasets/clusters,7.8463903046875,0.9276,1.00013,128,0.0,8,
